postcode,ladcd,inferred_postcode_dist_m,price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
SW5 0DE,E09000020,21.04018232465388,2470.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2470.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2470.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,27.963803
SW7 5BD,E09000020,26.959162474718056,2492.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
SW7 5BD,E09000020,26.959162474718056,2492.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,49.610202
SW7 5BD,E09000020,26.959162474718056,2492.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2492.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,44.59344
SW7 5BD,E09000020,26.959162474718056,2492.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,46.730209
SW7 5BD,E09000020,26.959162474718056,2492.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,61.594689
SW5 0DE,E09000020,21.04018232465388,2492.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,44.59344
SW5 0DE,E09000020,21.04018232465388,3500.0,3,2,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2496.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,,
SW5 0DE,E09000020,21.04018232465388,2500.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,85.842372
SW5 0DE,E09000020,21.04018232465388,2500.0,2,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2500.0,2,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,,
